campus_id,username,password,nom,prenom,telephone,mail,administrateur,actif,is_verified,photo
1,Stephane,123123,Zahui,Stephane,0110203030,stephane@sortir.com,0,1,0,
1,Chloe,123123,Largeau,Chloe,0110203041,chloe@sortir.com,0,1,0,
1,Medhy_sama,123123,Boulon,Medhy,0110203042,sama@sortir.com,0,1,0,
2,Alexandra,123123,Brochard,Alexandra,0110203043,alexandra@sortir.com,0,1,0,
2,Alice,123123,Champigny,Alice,0110203044,alice@sortir.com,0,1,0,
2,Arthur,123123,Le Goanvec,Arthur,0110203045,arthur@sortir.com,0,1,0,
2,Bastien,123123,Lambert,Bastien,0110203046,bastien@sortir.com,0,1,0,
1,Guillaume,123123,Ollivier,Guillaume,0110203047,guillaume@sortir.com,0,1,0,
3,Jeremy,123123,Sportes,Jeremy,0110203048,jeremy@sortir.com,0,1,0,
3,Johan,123123,Tite,Johan,0110203049,johan@sortir.com,0,1,0,
3,Kevin,123123,L'Hostis,Kevin,0110203050,kevin@sortir.com,0,1,0,
3,Laurence,123123,Guilbeau,Laurence,0110203051,laurence@sortir.com,0,1,0,
3,Laurent,123123,Chibois,Laurent,0110203052,laurent@sortir.com,0,1,0,
4,Melodie,123123,Lawson,Melodie,0110203053,melodie@sortir.com,0,1,0,
4,Nicolas,123123,Honorat,Nicolas,0110203054,nicolas@sortir.com,0,1,0,
4,Onur,123123,Esmer,Onur,0110203055,onur@sortir.com,0,1,0,
4,Sasha,123123,Laigle,Sasha,0110203056,sasha@sortir.com,0,1,0,
1,Yann,123123,Raffier,Yann,0110203057,yann@sortir.com,0,0,0,
1,Valentin,123123,De Faria Rodrigues,Valentin,0110203058,valentin@sortir.com,0,0,0,
2,François,123123,Terrien,Francois,0110203058,francois@sortir.com,0,0,0,
